2016-12-23 16:22:31,958 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[LOGIN] result[1]
2016-12-23 16:22:31,959 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:23:24,390 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[SOD] result[1]
2016-12-23 16:23:24,390 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:23:24,453 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[SUBSCRIBE_MARKET_DATA] result[1]
2016-12-23 16:23:42,830 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:26:48,693 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:27:56,533 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:27:58,606 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[LOGIN] result[1]
2016-12-23 16:27:58,607 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:28:50,979 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[SOD] result[1]
2016-12-23 16:28:50,979 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:28:51,037 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[SUBSCRIBE_MARKET_DATA] result[1]
2016-12-23 16:29:26,166 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:29:32,160 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:33:48,635 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:33:50,712 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[LOGIN] result[1]
2016-12-23 16:33:50,712 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:34:43,053 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[SOD] result[1]
2016-12-23 16:34:43,054 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:34:43,108 [pool-1-thread-1] INFO  com.celera.message.cmmf.CmmfParser.parseCmmfOgAdminResponse(CmmfParser.java:98) - sender[O], type[R], cmd[H] action[SUBSCRIBE_MARKET_DATA] result[1]
2016-12-23 16:35:15,099 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
2016-12-23 16:35:20,690 [main] INFO  com.celera.ipc.PipelineServer.send(PipelineServer.java:69) - send
